RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
36,36,Willy Wilcox,51,297.3,"29,133",98,Y2014
37,37,Martin Laird,66,297.2,"34,477",116,Y2014
38,38,Derek Ernst,80,297,"42,770",144,Y2014
39,39,Troy Matteson,62,296.7,"34,422",116,Y2014
40,40,Seung-Yul Noh,92,296.5,"54,555",184,Y2014
T41,T41,Matt Jones,83,296.3,"46,823",158,Y2014
T41,T41,Davis Love III,74,296.3,"42,664",144,Y2014
43,43,Kevin Chappell,100,296.2,"54,493",184,Y2014
44,44,Martin Flores,85,296,"47,957",162,Y2014
T45,T45,Hunter Mahan,88,295.8,"50,294",170,Y2014
T45,T45,Nick Watney,80,295.8,"39,636",134,Y2014
47,47,Carl Pettersson,91,295.5,"53,784",182,Y2014
48,48,Morgan Hoffmann,103,295.4,"58,486",198,Y2014
49,49,Justin Rose,70,295.1,"37,779",128,Y2014
50,50,Martin Kaymer,65,294.9,"35,391",120,Y2014
51,51,Hideki Matsuyama,82,294.8,"44,217",150,Y2014
52,52,Jim Herman,62,294.7,"34,181",116,Y2014
T53,T53,Andres Romero,81,294.6,"45,363",154,Y2014
T53,T53,Josh Teater,90,294.6,"49,496",168,Y2014
55,55,Kevin Tway,64,294.5,"35,342",120,Y2014
56,56,Brad Fritsch,50,294.4,"28,267",96,Y2014
57,57,Sergio Garcia,61,294.3,"29,425",100,Y2014
58,58,Rory Sabbatini,82,294.2,"43,537",148,Y2014
59,59,Tommy Gainey,73,294,"40,569",138,Y2014
60,60,Aaron Baddeley,74,293.8,"39,950",136,Y2014
T61,T61,Stewart Cink,91,293.7,"51,111",174,Y2014
T61,T61,Russell Henley,92,293.7,"51,688",176,Y2014
63,63,Bud Cauley,56,293.4,"32,856",112,Y2014
64,64,Henrik Stenson,56,293.2,"29,322",100,Y2014
T65,T65,Paul Casey,56,293,"30,475",104,Y2014
T65,T65,Michael Putnam,106,293,"59,769",204,Y2014
T65,T65,Wes Roach,67,293,"36,919",126,Y2014
T68,T68,Geoff Ogilvy,84,292.5,"46,799",160,Y2014
