RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
T46,,Hunter Mahan,67,65.04,573,881,Y2018
T46,,Francesco Molinari,73,65.04,640,984,Y2018
48,,Fabián Gómez,88,64.99,761,"1,171",Y2018
49,,Tommy Fleetwood,73,64.98,603,928,Y2018
50,,Graeme McDowell,67,64.92,533,821,Y2018
51,,Louis Oosthuizen,62,64.81,490,756,Y2018
52,,Chad Campbell,87,64.7,713,"1,102",Y2018
53,,Blayne Barber,69,64.67,604,934,Y2018
54,,Michael Thompson,62,64.66,525,812,Y2018
55,,Chris Kirk,108,64.64,956,"1,479",Y2018
56,,Daniel Berger,81,64.58,691,"1,070",Y2018
57,,Hudson Swafford,73,64.57,607,940,Y2018
58,,Bronson Burgoon,69,64.53,624,967,Y2018
59,,Brice Garnett,99,64.45,854,"1,325",Y2018
60,,Ryan Blaum,81,64.31,699,"1,087",Y2018
61,,Johnson Wagner,75,64.25,620,965,Y2018
62,,Kevin Na,91,64.13,774,"1,207",Y2018
63,,Zach Johnson,94,63.88,778,"1,218",Y2018
64,,John Huh,94,63.83,803,"1,258",Y2018
65,,James Hahn,85,63.73,731,"1,147",Y2018
T66,,Rod Pampling,62,63.69,514,807,Y2018
T66,,Gary Woodland,96,63.69,812,"1,275",Y2018
68,,Cameron Percy,56,63.66,445,699,Y2018
69,,Abraham Ancer,98,63.64,854,"1,342",Y2018
70,,Ben Martin,64,63.52,566,891,Y2018
71,,Branden Grace,67,63.49,567,893,Y2018
72,,Denny McCarthy,71,63.45,559,881,Y2018
73,,Aaron Wise,90,63.33,777,"1,227",Y2018
74,,Jason Dufner,71,63.3,571,902,Y2018
75,,Matt Kuchar,88,63.27,708,"1,119",Y2018
76,,Martin Laird,73,63.22,574,908,Y2018
77,,Roberto Díaz,72,63.2,601,951,Y2018
78,,Paul Casey,74,63.14,627,993,Y2018
T79,,Corey Conners,97,62.99,817,"1,297",Y2018
T79,,Kyle Thompson,50,62.99,405,643,Y2018
81,,Troy Merritt,89,62.93,747,"1,187",Y2018
82,,Andrew Landry,82,62.92,706,"1,122",Y2018
83,,Hideki Matsuyama,75,62.82,637,"1,014",Y2018
84,,Brandt Snedeker,84,62.79,719,"1,145",Y2018
85,,Zac Blair,64,62.76,509,811,Y2018
86,,Danny Lee,88,62.65,753,"1,202",Y2018
87,,Charles Howell III,104,62.59,875,"1,398",Y2018
88,,Adam Scott,78,62.51,682,"1,091",Y2018
89,,Tom Hoge,101,62.43,811,"1,299",Y2018
90,,Webb Simpson,95,62.34,803,"1,288",Y2018
91,,Chris Stroud,81,62.24,638,"1,025",Y2018
92,,Bryson DeChambeau,93,62.23,814,"1,308",Y2018
93,,Jonathan Randolph,71,62.18,564,907,Y2018
94,,Rory Sabbatini,91,62.05,770,"1,241",Y2018
95,,Scott Brown,102,62.03,848,"1,367",Y2018
96,,Tyrrell Hatton,58,61.84,470,760,Y2018
97,,Alex Noren,67,61.73,521,844,Y2018
98,,Patrick Cantlay,87,61.58,694,"1,127",Y2018
99,,Jordan Spieth,81,61.55,658,"1,069",Y2018
100,,J.T. Poston,73,61.53,611,993,Y2018
101,,Kevin Chappell,77,61.27,639,"1,043",Y2018
102,,Shane Lowry,64,61.2,478,781,Y2018
